"id","type","title","director","cast","country","data_added","release_year","rating","duration","duration_units","genre","plot","score","google_language","google_genre","google_plot"
"s1653","Movie","Andhaghaaram","V Vignarajan","Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath","",2020-11-24,2020,"TV-14",171,"min","Horror Movies, International Movies, Thrillers","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",78,"present","absent","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
"s1654","Movie","Andhakaaram","V Vignarajan","Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath","India",2020-11-24,2020,"TV-14",171,"min","Horror Movies, International Movies, Thrillers","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",78,"present","absent","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
"s1656","Movie","Dragons: Rescue Riders: Huttsgalor Holiday","Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Roshon Fegan, Grey Griffin, Brad Grusnick, Sam Lavagnino, John C. McGinley, Roger Craig Smith","United States",2020-11-24,2020,"TV-Y",46,"min","Children & Family Movies, Comedies","Snowfall marks the start of Odinyule — the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in.",45,"absent","absent","Snowfall marks the start of Odinyule â€” the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in."
"s1657","Movie","Hillbilly Elegy","Ron Howard","Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos","United States",2020-11-24,2020,"R",117,"min","Dramas","An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",77,"absent","absent","A Yale Law student reflects on his family's history and his own future after returning to his Appalachian hometown."
"s1658","Movie","Notes for My Son","Carlos Sorín","Valeria Bertuccelli, Esteban Lamothe, Julián Sorín, Mauricio Dayub, Malena Pichot, Catarina Spinetta, Carla Quevedo, Anita Pauls, Mónica Antonópulos, Paola Barrientos, Ana Katz, Romina Richi, Diego Gentile, Beatriz Spelzini, Diego Reinhold","Argentina",2020-11-24,2020,"TV-MA",84,"min","Dramas, International Movies","Battling terminal cancer, a woman writes a one of a kind notebook about life, death and love for her son to remember her by. Based on a true story.",66,"present","absent","Facing a terminal disease, a woman decides to use her unwavering optimism and sarcastic humour to make sure her 4-year-old son remembers her."
"s1660","Movie","Hard Kill","Matt Eskandari","Jesse Metcalfe, Bruce Willis, Natalie Eva Marie, Lala Kent, Texas Battle, Swen Temmel, Sergio Rizzuto, Tyler Jon Olson, Jon Galanis","United States",2020-11-23,2020,"R",98,"min","Action & Adventure","When a billionaire hires a team of mercenaries for protection, they soon realize world-changing technology and his daughter’s life are also at stake.",57,"absent","absent","Mercenaries race against the clock to stop a madman from using a computer program to wreak havoc around the globe."
"s1661","Movie","Shawn Mendes: In Wonder","Grant Singer","Shawn Mendes","United States",2020-11-23,2020,"TV-MA",83,"min","Documentaries, Music & Musicals","Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future.",71,"absent","absent","A portrait of the Canadian singer-songwriter's life, chronicling the past few years of his journey and rise to fame."
"s1664","Movie","Dolly Parton’s Christmas on the Square","Debbie Allen","Dolly Parton, Christine Baranski, Treat Williams, Jenifer Lewis, Josh Segarra, Jeanine Mason, Mary Lane Haskell","United States",2020-11-22,2020,"TV-PG",99,"min","Children & Family Movies, Music & Musicals","Seasonal cheer comes to a screeching halt when a cold-hearted woman tries to sell her hometown's land. Can music, magic and memories change her mind?",62,"absent","absent","A woman plans to sell a small town with no regard for the people living there, until she receives a miraculous visit."
"s1667","Movie","Alien Xmas","Stephen Chiodo","Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson","United States",2020-11-20,2020,"TV-Y",42,"min","Children & Family Movies","A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth's gravity — and steal all the presents.",45,"present","absent","A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth's gravity â€” and steal all the presents."
"s1668","TV Show","Flavorful Origins","","Yang Chen","China",2020-11-20,2020,"TV-G",3,"Seasons","Docuseries, International TV Shows","Delve into the delectable world of Chaoshan cuisine, explore its unique ingredients and hear the stories of the people behind its creation.",83,"absent","present","Chinese food is popular in America, and this series brings viewers information about a certain type of the ethnic food, Chaoshan cuisine. Each episode focuses on an ingredient that is often used in Chaoshan cooking, exploring where the ingredients come from and what they are used for, as well as bringing to light the stories of the people behind the cuisine's creation. The featured ingredients range from common foods like olives to more exotic fare like yusheng, a freshly sliced raw fish that is eaten with vegetables and dipping sauce.â€¦\xa0MORE"
"s1670","Movie","If Anything Happens I Love You","Will McCormack, Michael Govier","","United States",2020-11-20,2020,"PG",13,"min","Dramas","Grieving parents journey through an emotional void as they mourn the loss of a child in the aftermath of a tragic school shooting.",84,"absent","absent","In the aftermath of tragedy, two grieving parents journey through an emotional void as they mourn the loss of their daughter."
"s1671","TV Show","Mismatched","","Prajakta Koli, Rohit Saraf, Vihaan Samat, Taaruk Raina, Vidya Malavade, Kritika Bharadwaj, Rannvijay Singh, Muskkaan Jaferi, Devyani Shorey, Suhasini Mulay, Abhinav Sharma, Ravin Makhija","India",2020-11-20,2020,"TV-MA",1,"Season","International TV Shows, Romantic TV Shows, TV Comedies","After a disastrous set-up by their families, two teens strike up a tentative friendship at their summer program — but deeper feelings aren’t far behind.",81,"present","absent","After being set-up by their families, two teenagers strike up a tentative friendship at their summer programme."
"s1673","TV Show","Voices of Fire","","Pharrell Williams","United States",2020-11-20,2020,"TV-PG",1,"Season","Docuseries, Reality TV","In this faith-based docuseries, Bishop Ezekiel Williams builds an inspiring, nontraditional gospel choir with the help of superstar nephew Pharrell.",93,"absent","present","Bishop Ezekiel Williams, the uncle of singer Pharrell Williams, attempts to establish the world's best gospel choir in Hampton Roads, Va."
"s1682","Movie","The Princess Switch: Switched Again","Mike Rohl","Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann","United States",2020-11-19,2020,"TV-G",97,"min","Children & Family Movies, Comedies, Dramas","When Margaret's Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?",80,"absent","absent","Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with boyfriend Kevin at the same time. It's up to her double Princess Stacy to get the star-crossed lovers back together."
"s1685","TV Show","Holiday Home Makeover with Mr. Christmas","","Benjamin Bradley","United States",2020-11-18,2020,"TV-G",1,"Season","Reality TV","Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of ""elves” to help families transform their homes for the holidays.",69,"absent","absent","Equipped with lights, garland and tinsel, interior designer Benjamin Bradley and his team of elves work around the clock to bring holiday cheer to families and communities deserving of a home makeover for the most joyous time of year."
"s1686","Movie","Ainu Mosir","Takeshi Fukunaga","Kanto Shimokura, Debo Akibe, Emi Shimokura, Toko Miura, Lily Franky","United States, Japan",2020-11-17,2020,"TV-PG",84,"min","Dramas, International Movies","A sensitive Ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.",77,"present","absent","A sensitive 14-year-old boy takes his first tentative steps toward manhood."
"s1687","Movie","Kevin Hart: Zero F**ks Given","Leslie Small","Kevin Hart","United States",2020-11-17,2020,"TV-MA",70,"min","Stand-Up Comedy","Kevin Hart serves up laughs and brick oven pizza from the comfort of his home, and dishes on male group chats, sex after 40 and life with COVID-19.",66,"absent","absent","Kevin Hart: Zero F**ks Given is a 2020 American stand-up comedy special by comedian Kevin Hart. According to Hart the special, which was shot in his living room, is going to be ""like no other"" having ""zero filter"" and making ""zero apologies."" Wikipedia"
"s1688","TV Show","The Boss Baby: Back in Business","","JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan","United States",2020-11-17,2020,"TV-Y7",4,"Seasons","Kids' TV, TV Comedies","The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.",82,"present","present","With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp. headquarters."
"s1699","TV Show","The Crown","","Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser","United Kingdom, United States",2020-11-15,2020,"TV-MA",4,"Seasons","British TV Shows, International TV Shows, TV Dramas","This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.",93,"present","present","Based on an award-winning play (""The Audience"") by showrunner Peter Morgan, this lavish, Netflix-original drama chronicles the life of Queen Elizabeth II from the 1940s to modern times. The series begins with an inside look at the early reign of the queen, who ascended the throne at age 25 after the death of her father, King George VI. As the decades pass, personal intrigues, romances, and political rivalries are revealed that played a big role in events that shaped the later years of the 20th century.â€¦\xa0MORE"
"s1704","Movie","Jingle Jangle: A Christmas Journey","David E. Talbert","Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer","United States",2020-11-13,2020,"PG",124,"min","Children & Family Movies, Music & Musicals","Decades after his trusted apprentice betrayed him, a once-joyful toymaker finds new hope when his kind and curious granddaughter comes into his life.",78,"absent","absent","Jeronicus, a toymaker, is shattered after his assistant steals his book of ideas and a unique matador doll. He loses his will to create new toys until years later when his granddaughter visits him."
"s1706","Movie","The Life Ahead","Edoardo Ponti","Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Diego Iosif Pirvu, Massimiliano Rossi, Abril Zamora, Babak Karimi","Italy",2020-11-13,2020,"PG-13",95,"min","Dramas, International Movies","A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her.",87,"absent","absent","An ageing Holocaust survivor forges a bond with a young immigrant from Senegal who recently robbed her."
"s1707","TV Show","The Minions of Midas","Mateo Gil","Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá","Spain",2020-11-13,2020,"TV-MA",1,"Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.",74,"present","present","A millionaire publisher receives a blackmail note just as a reporter is about to break a Syrian war story involving him."
"s3288","TV Show","Maradona in Mexico","","Diego Armando Maradona","Argentina, United States, Mexico",2019-11-13,2020,"TV-MA",1,"Season","Docuseries, Spanish-Language TV Shows","In this docuseries, soccer great Diego Maradona comes to Culiacán, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too.",80,"present","present","In this docuseries, soccer great Diego Maradona comes to CuliacÃ¡n, the heart of the Sinaloa Cartel, to save the local team the Dorados -- and maybe himself."
"s1712","TV Show","Graceful Friends","","Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae","South Korea",2020-11-12,2020,"TV-MA",1,"Season","Crime TV Shows, International TV Shows, TV Dramas","When a sudden death brings everyone’s dirty secrets to the surface, the lives and marriages of a group of close-knit friends unravel out of control.",71,"absent","absent","After an unexpected death brings everyone's dirty secrets to the surface, the lives and marriages of a close-knit group of friends unravel out of control."
"s1716","TV Show","A Queen Is Born","Carla Barros","Gloria Groove, Alexia Twister","Brazil",2020-11-11,2020,"TV-14",1,"Season","International TV Shows, Reality TV","Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.",69,"present","absent","Aspiring drag queens and kings learn how to make full transformations in their own unique ways under the tutelage of Alexia Twister and Gloria Groove."
"s1717","TV Show","Aunty Donna's Big Ol' House of Fun","","Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome","Australia",2020-11-11,2020,"TV-MA",1,"Season","TV Comedies","Comedy trio Aunty Donna showcase their uniquely absurd and offbeat style through an array of sketches, songs and eclectic characters.",89,"absent","present","The Aunty Donna boys showcase a range of hilarious comedy sketches, complete with celebrity cameos and unique stories."
"s1718","TV Show","The Liberator","","Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon","United States",2020-11-11,2020,"TV-MA",1,"Season","TV Action & Adventure, TV Dramas","A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events.",78,"absent","present","Maverick U.S. Army officer Felix ""Shotgun"" Sparks and his infantry unit fight for more than 500 days to liberate Europe."
"s1719","TV Show","Trial 4","","","United States",2020-11-11,2020,"TV-MA",1,"Season","Crime TV Shows, Docuseries","Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.",77,"present","present","Charged as a teenager in the 1993 killing of a Boston police officer, Sean K. Ellis fights to prove his innocence while exposing police corruption and systematic racism."
"s1721","Movie","What We Wanted","Ulrike Kofler","Lavinia Wilson, Elyas M'Barek, Anna Unterberger, Lukas Spisser, Iva Höpperger, Fedor Teyml, Marta Manduca, Maria Hofstätter, Tina Haller","Austria",2020-11-11,2020,"TV-MA",93,"min","Dramas, International Movies","A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort — and the family next door only adds to the tension.",38,"present","absent","A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort, and the family next door only adds to the tension."
"s1723","TV Show","DASH & LILY","","Midori Francis, Austin Abrams, Dante Brown, Troy Iwata","United States",2020-11-10,2020,"TV-14",1,"Season","Romantic TV Shows, TV Comedies, TV Dramas","Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.",78,"absent","present","A whirlwind Christmas romance builds as cynical Dash and optimistic Lily trade dares, dreams and desires in the notebook they pass back and forth at locations around New York City."
"s1759","TV Show","LEGO Ninjago","","Michael Adamthwaite, Paul Dobson, Kelly Metzger, Brent Miller, Kirby Morrow, Pauline Newstone, Vincent Tong, Sam Vincent","Canada",2020-11-01,2020,"TV-Y7",2,"Seasons","Kids' TV","While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested.",89,"present","absent","Sensei Wu recruits four Ninjas, including Kai, a young sword-maker looking for his sister, and trains them for a specific task. They must find the four weapons of Spinjitzu before it's too late."
"s1767","TV Show","The Good Detective","","Son Hyun-joo, Jang Seung-jo, Lee Elijah, Oh Jung-se","South Korea",2020-11-01,2020,"TV-MA",1,"Season","Crime TV Shows, International TV Shows, TV Dramas","When doubts rise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths.",88,"present","present","When doubts surface about a 5-year-old murder conviction, a veteran detective and a young hotshot team up to discover the hidden truths of the case."
"s1771","Movie","Wheels of Fortune","Shaun Paul Piccinino","Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty","United States",2020-11-01,2020,"R",107,"min","Comedies, Sports Movies","To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will.",88,"absent","absent","Contestants compete against each other by solving word puzzles in order to win cash prizes, which are determined by a spinning wheel."
"s2551","Movie","18 Presents","Francesco Amato","Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli","Italy",2020-05-08,2020,"TV-MA",114,"min","Dramas, Independent Movies, International Movies","A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.",85,"present","absent","After getting diagnosed with a terminal illness, Elisa, a new mother, decides to leave 18 presents for her baby girl, Anna."
"s2552","TV Show","Dead to Me","","Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins, Sam McCarthy, Luke Roessler, Edward Asner","United States",2020-05-08,2020,"TV-MA",2,"Seasons","TV Comedies, TV Dramas","A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.",86,"absent","absent","Jen\'s husband recently died in a hit-and-run, and the sardonic widow is determined to solve the crime. Optimistic free spirit Judy has recently suffered a tragic loss of her own. The ladies meet at a support group and, despite their polar-opposite personalities, become unlikely friends. As the women bond over bottles of wine and a shared affinity for ""The Facts of Life,"" Judy tries to shield Jen from a shocking secret that could destroy her life as she knows it. The dark comedy -- which explores the weirdly funny sides of grief, loss and forgiveness -- features a cast that includes TV veterans Christina Applegate and Ed Asner.â€¦\xa0MORE"
"s2553","TV Show","Restaurants on the Edge","","Nick Liberato, Karin Bohn, Dennis Prescott","Canada",2020-05-08,2020,"TV-14",2,"Seasons","International TV Shows, Reality TV","Three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.",78,"absent","absent","A team of three experts -- a restaurateur, a designer and a chef -- tap into a restaurant's surroundings and community to remodel each business in a way that is uplifting, inspirational, and positive."
"s2554","TV Show","The Eddy","Damien Chazelle, Houda Benyamina, Laïla Marrakchi, Alan Poul","André Holland, Joanna Kulig, Amandla Stenberg, Leïla Bekhti, Tahar Rahim, Benjamin Biolay, Adil Dehbi, Melissa George, Lada Obradovic, Tchéky Karyo, Randy Kerber, Elyes Aguis, Damian Nueva Cortes","United Kingdom, Germany, United States, France",2020-05-08,2020,"TV-MA",1,"Season","International TV Shows, TV Dramas","The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter.",80,"present","present","A former New York City jazz pianist finds himself tangling with dangerous criminals in Paris as he struggles to protect his club, his band, and his teenage daughter."
"s2555","TV Show","The Hollow","","Adrian Petriw, Ashleigh Ball, Connor Parnall, Mark Hildreth, Alex Barima, Jesse Moss, Diana Kaarina, Brian Dobson","Canada",2020-05-08,2020,"TV-Y7",2,"Seasons","Kids' TV, TV Thrillers","Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",82,"absent","present","Three teens work together to find a way home after waking up in a mysterious realm filled with magic portals, strange puzzles, and nasty beasts."
"s914","Movie","Time to Dance","Stanley Menino D'Costa","Sooraj Pancholi, Isabelle Kaif, Rajpal Yadav, Waluscha D'Souza, Natasha Powell, Martin Rycroft, Amrit Maghera, Saqib Saleem","India",2021-05-07,2020,"TV-PG",107,"min","Dramas, International Movies, Romantic Movies","When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.",42,"absent","absent","An injured ballroom dancer gets her hopes up when she meets the perfect dance partner. Overcoming her painful past, she strives to succeed without losing her heart to her new teammate."
"s2558","TV Show","Scissor Seven","He Xiaofeng","He Xiaofeng, Jiang Guangtao, Duan Yixuan, Zhu Rongrong, Wen Sen, Jiang Huiqin, Ban Ma, Ronny Chieng, Shinji Saito, Daniel Sosa","China",2020-05-07,2020,"TV-MA",2,"Seasons","International TV Shows, TV Action & Adventure, TV Comedies","Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",93,"present","present","With a trusted pair of hairdressing scissors and the ability to disguise himself, Seven offers contract killing for cheap; the problem is he often has trouble completing assignments."
"s916","Movie","And Tomorrow the Entire World","Julia von Heinz","Mala Emde, Noah Saavedra, Tonio Schneider, Luisa-Céline Gaffron, Andreas Lust, Nadine Sauter, Ivy Lissack, Hussein Eliraqui, Victoria Trauttmansdorff, Michael Wittenborn","Germany, France",2021-05-06,2020,"TV-MA",112,"min","Dramas, International Movies, Thrillers","A law student joins an anti-fascist group and finds herself sucked into increasingly dangerous situations and drawn more and more to violence.",50,"present","absent","An anti-fascist law student infiltrates a regional neo-Nazi group to find out more about a planned attack that threatens her friends."
"s2561","Movie","Sí, Mi Amor","Pedro Flores Maldonado","Yiddá Eslava, Julián Zucchi, Andrés Salas, Magdyel Ugaz, Pietro Sibille, Saskia Bernaola, Sebastián Monteghirfo, Mayra Olivera","",2020-05-06,2020,"TV-MA",107,"min","Comedies, International Movies, Romantic Movies","A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.",46,"present","absent","A man vows to prove his fidelity when his girlfriend suddenly breaks up with him after she suspects he's been cheating on her."
"s2562","Movie","Jerry Seinfeld: 23 Hours To Kill","Joe DeMaio","Jerry Seinfeld","United States",2020-05-05,2020,"TV-PG",61,"min","Stand-Up Comedy","Jerry Seinfeld takes the stage in New York and tackles talking vs. texting, bad buffets vs. so-called ""great"" restaurants and the magic of Pop Tarts.",65,"absent","absent","Jerry Seinfeld takes the stage in New York and tackles talking vs. texting, bad buffets vs. so-called ""great"" restaurants and the magic of Pop Tarts."
"s921","TV Show","Selena: The Series","","Christian Serratos, Gabriel Chavarria, Ricardo Chavira, Noemi Gonzalez, Seidy Lopez, Hunter Reese Peña, Julio Macias, Carlos Alfredo Jr., Jesse Posey, Madison Taylor Baez, Juan Martinez, Daniela Estrada, Paul Rodriguez Jr.","Mexico, United States",2021-05-04,2020,"TV-PG",2,"Seasons","TV Dramas","Iconic Mexican-American performer Selena rises to fame as she and her family make sacrifices in order to achieve their lifelong dreams.",82,"present","present","The tragic life story of Selena Quintanilla, the Queen of Tejano music and an iconic Mexican-American pop star."
"s826","TV Show","Dirty John","","Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel","United States",2021-05-31,2020,"TV-MA",2,"Seasons","Crime TV Shows, TV Dramas, TV Mysteries","Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.",85,"absent","present","""Dirty John"" is a true-crime anthology series that explores the theme of love gone wrong, set against the backdrop of sunny Southern California. In the course of each season, viewers can follow a relationship from promising beginning to catastrophic end, raising the question of whether it\'s possible to really know someone, even the person one loves most. Through exploring the nuances and reframing the narratives of well-known cases, the series serves to remind the audience that there are two sides to every story, and people are often not quite as they seem.â€¦\xa0MORE"
"s2459","Movie","Kenny Sebastian: The Most Interesting Person in the Room","Angshuman Ghosh","Kenny Sebastian","India",2020-05-29,2020,"TV-MA",68,"min","Stand-Up Comedy","Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.",90,"absent","absent","Showing off his musical and standup chops, the comic analyses frumpy footwear, flightless birds and his fear of not being funny enough."
"s2460","TV Show","Space Force","","Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers, Tawny Newsome, Jimmy O. Yang, Don Lake, Lisa Kudrow, Fred Willard, Spencer House, Owen Daniels, Hector Duran, Chris Gethard, Aparna Nancherla","United States",2020-05-29,2020,"TV-MA",1,"Season","TV Comedies","A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.",86,"present","present","A group of people are tasked with establishing the U.S. Space Force."
"s2469","Movie","Hannah Gadsby: Douglas","Madeleine Parry","Hannah Gadsby","Australia",2020-05-26,2020,"TV-MA",73,"min","Stand-Up Comedy","Hannah Gadsby returns for her second special and digs deep into the complexities of popularity, identity and her most unusual dog park encounter.",60,"absent","absent","Hannah Gadsby: Douglas is a live comedy performance written and performed by Australian comedian Hannah Gadsby, which debuted in 2019. The show follows on the success of her previous show Nanette, which helped Gadsby expand her international audience. Wikipedia"
"s7595","Movie","Norm of the North: Family Vacation","Anthony Bell","Andrew Toth, Lisa Durupt, Jonathan Holmes, Paul Dobson, Cole Howard, Brian Drummond, Jennifer Cameron","United States",2020-05-25,2020,"TV-Y7",89,"min","Children & Family Movies","Stressed by his duties as king and father, Norm must secretly find his stolen crown while taking his family on a much-needed vacation.",47,"absent","absent","Norm searches for his missing crown while fixing his family relationships."
"s2473","TV Show","Betaal","","Viineet Kumar, Aahana Kumra, Suchitra Pillai, Jatin Goswami, Siddharth Menon, Manjiri Pupala, Yashwant Wasnik, Savita Bajaj, Jitendra Joshi, Syna Anand","India",2020-05-24,2020,"TV-MA",1,"Season","International TV Shows, TV Action & Adventure, TV Horror","Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies.",77,"present","present","Hired to displace tribal villagers, highway officials unearth an old curse and an army of British soldier-zombies."
"s2475","Movie","One Day We'll Talk About Today","Angga Dwimas Sasongko","Rachel Amanda, Rio Dewanto, Shelia Dara, Donny Damara, Susan Bachtiar, Oka Antara, Niken Anjani, Ardhito Pramono","Indonesia",2020-05-23,2020,"TV-G",128,"min","Dramas, International Movies","Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.",83,"absent","absent","Harbouring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them."
"s2476","Movie","Si Doel the Movie 3","Rano Karno","Rano Karno, Cornelia Agatha, Maudy Koesnaedi, Suty Karno, Mandra Naih, Aminah Tjendrakasih, Rey Bong, Akhmad Zulhoir Mardia","Indonesia",2020-05-23,2020,"TV-G",93,"min","Dramas, International Movies, Music & Musicals","Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves.",86,"absent","absent","When Sarah and Dul return to Jakarta, Doel's family welcomes them with open arms. Things turn complicated when Zaenab reveals she is carrying Doel's baby."
"s2477","TV Show","History 101","","","United Kingdom",2020-05-22,2020,"TV-14",1,"Season","British TV Shows, Docuseries, International TV Shows","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",80,"absent","present","Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries."
"s2480","Movie","The Lovebirds","Michael Showalter","Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp, Kyle Bornheimer, Nicholas X. Parsons, Andrene Ward-Hammond, Catherine Cohen, Barry Rothbart","United States",2020-05-22,2020,"R",87,"min","Action & Adventure, Comedies, Romantic Movies","When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names.",60,"absent","absent","On the brink of breaking up, a couple gets unintentionally embroiled in a bizarre murder mystery. As they get closer to clearing their names and solving the case, they need to figure out how they, and their relationship, can survive the night."
